공통표준단어명,공통표준단어영문약어명,공통표준단어 영문명,공통표준단어 설명,형식단어여부,공통표준도메인분류명,이음동의어 목록,금칙어 목록,제정차수,"개정구분명(폐기 또는 변경)",개정항목,개정사유
도로폭,RDWD,Road Width,道路幅. 도로 용지의 폭에서 교통과 직접적으로 관계있는 도로 부분의 폭,Y,수,,,8차(2025-11),,,
도매,WHLSL,Wholesale,都買/都賣. 물건을 낱개로 사거나 팔지 않고 모개로 사고 팖,N,,,,8차(2025-11),,,
도메인,DMN,Domain,Domain. 인터넷상에서 개인이 소유하고 있는 인터넷 주소,N,,,,6차(2023-11),,,
도면,FLRPLN,Floor Plan,"圖面. 토목, 건축, 기계 따위의 구조나 설계 또는 토지, 임야 따위를 제도기를 써서 기하학적으로 나타낸 그림",N,,,,5차(2022-07),,,
도서,BOOK,Book,"圖書. 일정한 목적, 내용, 체재에 맞추어 사상, 감정, 지식 따위를 글이나 그림으로 표현하여 적거나 인쇄하여 묶어 놓은 것(책)",N,,책,,5차(2022-07),,,
도서관,LIB,Library,"圖書館. 온갖 종류의 도서, 문서, 기록, 출판물 따위의 자료를 모아 두고 일반이 볼 수 있도록 한 시설",N,,,,6차(2023-11),,,
도시,CTY,City,"都市. 일정한 지역의 정치ㆍ경제ㆍ문화의 중심이 되는, 사람이 많이 사는 지역",N,,,,2차(2020-12),,,
도엽,MAPSHT,Map Sheet,圖葉. 일정한 도식과 분할되어 한정된 방향으로 통일된 지역을 자른 도면 형식의 지도로 1매를 말한다,N,,,,5차(2022-07),,,
도움말,HLP,Help,도움말. 말로 거들거나 깨우쳐 주어서 도움,N,,,,6차(2023-11),,,
도입,INTR,Introduction,"導入. 기술, 방법, 물자 따위를 끌어 들임",N,,,,6차(2023-11),,,
도착,ARVL,Arrival,到着. 목적한 곳에 다다름,N,,,,3차(2021-10),,,
도착지,DEST,Destination,到着地. 어떤 곳에 이르러 닿는 곳,N,,,,6차(2023-11),,,
도착항,ARPT,Arrival Port,到着港. 배가 다다른 항구,N,,,,7차(2024-11),,,
도축장,SLHS,Slaughterhouse,屠畜場. 고기를 얻기 위하여 소나 돼지 따위의 가축을 잡아 죽이는 곳,N,,,,8차(2025-11),,,
독려,ENCR,Encouragement,督勵. 감독하며 격려함,N,,,,7차(2024-11),,,
독성,TXCT,Toxicity,毒性. 독이 있는 성분,N,,,,8차(2025-11),,,
독촉,URG,Urge,督促. 일이나 행동을 빨리하도록 재촉함,N,,,,7차(2024-11),,,
돌풍,GUST,Gust,突風. 갑자기 세게 부는 바람,N,,,,7차(2024-11),,,
동거,CHBTN,Cohabitation,同居. 한집이나 한방에서 같이 삶,N,,,,5차(2022-07),,,
동기화,SYNC,Synchronization,"同期化. 작업들 사이의 수행 시기를 맞추는 것. 사건이 동시에 일어나거나, 일정한 간격을 두고 일어나도록 시간의 간격을 조정하는 것을 이른다",N,,,,7차(2024-11),,,
동반,ACMP,Accompany,同伴. 일을 하거나 길을 가는 따위의 행동을 할 때 함께 짝을 함. 또는 그 짝,N,,,,7차(2024-11),,,
동승자,FLPS,Fellow Passenger,"同乘者. 차, 배, 비행기 따위를 같이 탄 사람",N,,,,8차(2025-11),,,
동영상,VDO,Video,動映像. 컴퓨터 모니터의 화상이 텔레비전의 화상처럼 움직이는 것,N,,,,4차(2021-12),,,
동영상재생,VDPLY,Video Playback,"動映像再生. 컴퓨터, 스마트폰, TV 등 전자기기에서 동영상을 다시 보여주는 행위 또는 기능",N,,,,8차(2025-11),,,
동원,MBLZ,Mobilization,"動員. 어떤 목적을 달성하고자 사람을 모으거나 물건, 수단, 방법 따위를 집중함",N,,,,8차(2025-11),,,
동의,AGRE,Agreement,同議. 같은 의견이나 논의,N,,,,1차(2020-08),,,
동의서,WTCS,Written Consent,同意書. 어떤 문제에 대하여 동의를 표시하는 문건,N,,,,6차(2023-11),,,
동의어,SYNM,Synonym,同義語. 뜻이 같은 말,N,,,,6차(2023-11),,,
동의자,ASNTR,Assentor,同意者. 의사나 의견에 찬성하는 사람,N,,,,7차(2024-11),,,
동호회,CLUB,Club,同好會. 같은 취미를 가지고 함께 즐기는 사람의 모임,N,,,,6차(2023-11),,,
두수,NOHD,Number Of Head,"頭數. 소, 말, 돼지 따위의 수",Y,수,,,8차(2025-11),,,
둘레,CRCMF,Circumference,둘레. 사물의 테두리나 바깥 언저리,N,,,,8차(2025-11),,,
득표,VTE,Vote,得票. 투표에서 찬성표를 얻음 또는 그 얻은 표,N,,,,8차(2025-11),,,
등급,GRD,Grade,等級. 높고 낮음이나 좋고 나쁨 따위의 차이를 여러 층으로 구분한 단계,Y,번호,,,5차(2022-07),변경,"형식단어, 공통표준도메인분류명",형식단어로 지정됨에 따라 공통표준도메인분류명 지정
등기,RG,Registered,登記. 국가 기관이 법정 절차에 따라 등기부에 부동산이나 동산ㆍ채권 등의 담보 따위에 관한 일정한 권리관계를 적는 일. 또는 적어 놓은 것. 우편물 특수 취급의 하나. 우체국에서 우편물의 안전한 송달을 보증하기 위하여 우편물의 인수ㆍ배달 과정을 기록,N,,,,2차(2020-12),,,
등기소,RGOFC,Registry Office,登記所. 등기 사무를 맡아보는 관청,N,,,,6차(2023-11),,,
등기원인,RGCS,Registration Cause,登記原因. 등기를 정당화하는 법률에서의 원인,N,,,,6차(2023-11),,,
등록,REG,Registration,登錄. 일정한 자격 조건을 갖추기 위하여 단체나 기관에 문서를 올리거나 법정(法定)의 공부(公簿)에 기재하는 일,N,,,,1차(2020-08),,,
등록기준지,RGLC,Registration Location,登錄基準地. 가족 관계 등록부가 있는 지역,N,,,,8차(2025-11),,,
등록세,RGTX,Registration Tax,"登錄稅. 재산권의 취득, 이전, 변경, 소멸 따위나 법률에서 정한 일정한 자격에 대하여 관계 관청에 등록하거나 등기할 때 매기는 세금",Y,금액,,,7차(2024-11),,,
등록자,RGTR,Registrant,登錄者. 일정한 자격 조건을 갖추기 위하여 단체나 학교 따위에 문서를 올린 사람,N,,등록인,,2차(2020-12),,,
라벨,LBL,Label,Label. 파일의 관리나 처리의 편의를 위하여 파일에 붙이는 특별한 항목 표시 기록,N,,,,5차(2022-07),,,
라이선스,LCN,License,License. 개발된 제품이나 제조 기술의 특허권 또는 그것의 사용을 허가하는 일,N,,,,8차(2025-11),,,
레벨,LV,Level,Level. 지위나 품질 따위의 일정한 표준이나 정도,Y,번호,,,8차(2025-11),,,
레이더,RADR,Radar,Radar. 전파를 이용하여 물체를 탐지하고 거리를 측정하는 장치,N,,,,8차(2025-11),,,
레코드,RCRD,Record,Record. 정보 처리를 위하여 하나의 단위로 취급되는 관련 데이터나 워드(word)의 모임,N,,,,6차(2023-11),,,
로그,LOG,Log,"LOG. 시스템 사용에 관련된 전체의 기록, 즉 입출력 내용, 프로그램 사용 내용, 자료변경 내용, 시작시간, 종료시간 등의 기록",N,,,,4차(2021-12),,,
로그아웃,LGT,Log Out,Log Out. 사용 중인 네트워크에서 업무를 끝마치고 주 컴퓨터와의 연결을 끊고 나오는 일,N,,,,3차(2021-10),,,
로그인,LGN,Login,Login. 다중 사용자 시스템을 사용하기 위하여 컴퓨터에 사용자임을 알리는 일,N,,,,1차(2020-08),,,
로컬,LCAL,Local,"Local. 컴퓨터나 서버, 시스템 내의 환경이나 위치",N,,,,8차(2025-11),,,
로트,LT,Lot,"LOT. 동일한 제조 조건하에서 제조되고 균일한 특성 및 품질을 갖는 완제품, 구성부품 및 원자재의 단위를 말한다",N,,,,7차(2024-11),,,
리,LI,Li,"里. 지방 행정의 말단 구역. 몇 개의 촌락이 모여 이루어지며, 읍과 면(面)의 아래에 둔다. 어말에 붙어 특정 동리의 이름을 나타낼 때에는 ‘리’로 바뀐다",N,,,,5차(2022-07),,,
마감,DDLN,Deadline,"마감. 하던 일을 마물러서 끝냄. 또는 그런 때, 정해진 기한의 끝",N,,,,1차(2020-08),,,
마감자,CLOSR,Closer,마감者. 하던 일을 마물러서 끝낸 사람,N,,,,8차(2025-11),,,
마스킹,MSKG,Masking,Masking. 물리적 현상이나 효과가 내부 또는 외부의 방해를 받아 가려져 나타나지 아니하거나 약화되는 일,N,,,,8차(2025-11),,,
마을,VLG,Village,마을. 주로 시골에서 여러 집이 모여 사는 곳,N,,,,6차(2023-11),,,
마일리지,MLG,Mileage,Mileage. 고정 고객 확보를 위한 기업의 판매 촉진 프로그램,N,,,,6차(2023-11),,,
만기,MTRY,Maturity,晩期. 정해진 기간이나 일의 끝이 되는 때나 시기,N,,,,1차(2020-08),,,
만료,EXPRY,Expiry,滿了. 기한이 다 차서 끝남,N,,,,3차(2021-10),,,
만족,STFC,Satisfaction,滿足. 마음에 흡족함,N,,,,7차(2024-11),,,
만족도,DGSTFN,Degree Of Satisfaction,滿足度. 만족을 느끼는 정도,N,,,,4차(2021-12),,,
말소,ERSR,Erasure,抹消. 기록되어 있는 사실 따위를 지워서 아주 없애 버림,N,,,,1차(2020-08),,,
맞벌이,DLICM,Dual Income,맞벌이. 부부가 모두 직업을 가지고 돈을 벎 또는 그런 일,N,,,,6차(2023-11),,,
매각,DSPSL,Disposal,賣却. 물건을 팔아 버림,N,,,,6차(2023-11),,,
매뉴얼,MNL,Manual,"Manual. 내용이나 이유, 사용법 따위를 설명한 글",N,,설명서,,7차(2024-11),,,
매도,SLL,Sell,賣渡. 값을 받고 물건의 소유권을 다른 사람에게 넘김,N,,,,6차(2023-11),,,
매립량,LFVLM,Landfill Volume,"埋立量. 돌이나 흙, 쓰레기 따위로 메우는 양",Y,수,,,8차(2025-11),,,
매립지,RCMLND,Reclaimed Land,埋立地. 낮은 땅을 돌이나 흙 따위로 메워 돋운 땅,N,,,,4차(2021-12),,,
매매,TRD,Trading,賣買. 물건을 팔고 사는 일,N,,,,6차(2023-11),,,
매설,LYNG,Laying,"埋設. 지뢰, 수도관 따위를 땅속에 파묻어 설치함",N,,,,8차(2025-11),,,
매수,BYNG,Buying,買收. 물건을 사들임,N,,,,5차(2022-07),,,
매수자,BYR,Buyer,買受者. 물건을 사서 넘겨받은 사람,N,,매수인,,6차(2023-11),,,
매우만족,HSTFY,Highly Satisfy,매우滿足. 보통 정도보다 횔씬 더 마음에 흡족함,N,,,,7차(2024-11),,,
매우불만족,HDSTFY,Highly Dissatisfy,매우不滿足. 보통 정도보다 휠씬 더 마음에 흡족하지 않음,N,,,,7차(2024-11),,,
매입세액,IPTXAM,Input Tax Amount,買入稅額. 사업자가 공급받은 재화나 용역에 대하여 공급자가 징수하는 부가 가치 세액,Y,금액,,,7차(2024-11),,,
매장,SHOP,Shop,賣場. 물건을 파는 장소,N,,,,6차(2023-11),,,
매체,MEDIA,Media,媒體. 어떤 작용을 한쪽에서 다른 쪽으로 전달하는 물체 또는 그런 수단,N,,,,8차(2025-11),,,
매출,SLS,Sales,賣出. 물건 따위를 내다 파는 일,N,,,,2차(2020-12),,,
매출원가율,COGSRT,Cost of Goods Sold (COGS) Ratio ,"賣出原價率. 매출액에 대한 매출 원가의 비율. 영업 활동의 능률성을 평가하는 지표 중 하나로, 생산 공정의 간략화, 설비 갱신 따위로 제품 단위당 드는 매출 원가를 내려 수익성을 높일 수 있다",Y,율,,,6차(2023-11),,,
매핑,MPNG,Mapping,"Mapping. 하나의 값을 다른 값으로 또는 한 데이터 집합을 다른 데이터 집합으로 번역하거나, 2개의 데이터 집합 사이에 1:1 대응 관계를 설정하는 것",N,,,,6차(2023-11),,,
머리말,PRFC,Preface,머리말. 책이나 논문 따위의 첫머리에 내용이나 목적 따위를 간략하게 적은 글,N,,머리글,,8차(2025-11),,,
메뉴,MENU,Menu,Menu. 디스플레이 장치 위에 표시하여 둠으로써 사용자가 마우스나 키보드를 이용하여 명령을 선택할 수 있도록 한 조작 순서 일람표,N,,,,5차(2022-07),,,
메모,MEMO,Memo,Memo. 다른 사람에게 말을 전하거나 자신의 기억을 돕기 위하여 짤막하게 글로 남김. 또는 그 글,N,,,,5차(2022-07),,,
메모리,MMRY,Memory,Memory. 기억 장치에 들어갈 수 있는 데이터의 최대량을 나타내는 수치,N,,,,7차(2024-11),,,
메시지,MSG,Message,Message. 어떤 사실을 알리거나 주장하거나 경고하기 위하여 보내는 전언,N,,,메세지,5차(2022-07),,,
메신저,MSNGR,Messenger,Messenger. 인터넷이나 모바일 네트워크를 통해 실시간으로 메시지·데이터를 주고받을 수 있는 소프트웨어 또는 서비스,N,,,,8차(2025-11),,,
메인화면,MSCRN,Main Screen,Main畫面. 컴퓨터나 휴대폰 따위에서 가장 중요하거나 으뜸이 되는 화면,N,,,,7차(2024-11),,,
메타데이터,MTDT,Metadata,Meta Date. 데이터를 효율적으로 이용하기 위해 구조화하는 데이터 정보,N,,,,8차(2025-11),,,
면담,ITVW,Interview,面談. 서로 만나서 이야기함,N,,,,6차(2023-11),,,
면담자,ITVWR,Interviewer,面談者. 서로 직접 만나서 이야기를 하는 사람,N,,,,6차(2023-11),,,
면세,TXEX,Tax Exemption,免稅. 세금을 면제함,N,,,,7차(2024-11),,,
면적,AREA,Area,面積. 면이 이차원의 공간을 차지하는 넓이의 크기,Y,면적,,,5차(2022-07),변경,"형식단어, 공통표준도메인분류명",형식단어로 지정됨에 따라 공통표준도메인분류명 지정
면접,INTV,Interview,面接. 직접 만나서 인품(人品)이나 언행(言行) 따위를 평가하는 시험,N,,,,7차(2024-11),,,
면제,EXMPTN,Exemption,免除. 책임이나 의무 등을 면하여 줌,N,,,,3차(2021-10),,,
면책,EXRS,Exemption From Responsibility,免責. 책임이나 책망을 면함,N,,,,6차(2023-11),,,
면허,LCNS,License,免許. 특정한 일을 할 수 있는 공식적인 자격을 행정 기관이 허가함,N,,,,4차(2021-12),,,
면허세,LCTX,License Tax,"免許稅. 지방세의 하나로, 특정한 행위나 영업을 허가할 때, 그 허가를 받는 사람에게 부과한다",Y,금액,,,8차(2025-11),,,
멸종위기종,ENSPC,Endangered Species,"滅種危機種. 멸종 위험이 매우 높은, 법령·국가·국제기준으로 보호 지정된 종",N,,,,8차(2025-11),,,
명,NM,Name,"名. 다른 것과 구별하기 위하여 사물, 단체, 현상 따위에 붙여서 부르는 말. ‘이름’의 뜻을 나타내는 말",Y,명,"이름, 명칭",,2차(2020-12),,,
명도,EVC,Eviction,"明渡. 건물, 토지, 선박 따위를 남에게 주거나 맡김 또는 그런 일",N,,,,8차(2025-11),,,
명령,CMD,Command,命令. 윗사람이나 상위 조직이 아랫사람이나 하위 조직에 무엇을 하게 함 또는 그런 내용,N,,,,6차(2023-11),,,
명세서,DTST,Detailed Statement,明細書. 물품이나 금액 따위의 내용을 분명하고 자세하게 적은 문서,N,,,,8차(2025-11),,,
명예,HNR,Honor,名譽. 세상에서 훌륭하다고 인정되는 이름이나 자랑. 또는 그런 존엄이나 품위,N,,,,7차(2024-11),,,
명의,NMNL,Nominal,名義. 문서상의 권한과 책임이 있는 이름,N,,,,7차(2024-11),,,
명절,NHLDY,National Holiday,名節. 해마다 일정하게 지키어 즐기거나 기념하는 때,N,,,,8차(2025-11),,,
모기업,PRNCO,Parent Company,"母企業. 이미 있던 기업에서 한 기업이 독립하여 나왔을 때, 그 모체가 되는 기업을 이르는 말",N,,,,8차(2025-11),,,
모니터링,MNTR,Monitoring,Monitoring. 일정한 목적과 계획하에 상황이나 사건을 주의 깊게 살피거나 감시하는 것,N,,,,6차(2023-11),,,
모델,MDL,Model,Model. 작품을 만들기 전에 미리 만든 물건. 또는 완성된 작품의 대표적인 보기,N,,,,5차(2022-07),,,
모뎀,MODEM,Modem,Modem. 통신 시설을 통하여 데이터를 전송할 때 전송되는 신호를 바꾸는 장치,N,,,,8차(2025-11),,,
모듈,MDUL,Module,Module. 프로그램을 기능별로 분할한 논리적인 일부분,N,,,,8차(2025-11),,,
모바일,MOBL,Mobile,Mobile. 이동성을 가진 정보 통신 수단의 모든 것을 이르는 말,N,,,,7차(2024-11),,,
모집,RCRT,Recruitment,"募集. 사람이나 작품, 물품 따위를 일정한 조건 아래 널리 알려 뽑아 모음",N,,,,6차(2023-11),,,
모집단,POPL,Population,母集團. 통계적인 관찰의 대상이 되는 집단 전체,N,,,,8차(2025-11),,,
목록,LIST,List,目錄. 어떤 물품의 이름이나 책 제목 따위를 일정한 순서로 적은 것,N,,,,7차(2024-11),,,
목요일,THUR,Thursday,木曜日. 월요일을 기준으로 한 주의 넷째 날,N,,,,7차(2024-11),,,
목적,PRPS,Purpose,目的. 실현하려고 하는 일이나 나아가는 방향,Y,내용,,,5차(2022-07),,,
목적지,DSTN,Destination,目的地. 목적으로 삼는 곳,N,,,,8차(2025-11),,,
목차,TOC,Table Of Contents,"目次. 목록이나 제목, 조항 따위의 차례",N,,,,7차(2024-11),,,
목표,GOAL,Goal,目標. 어떤 목적을 이루려고 지향하는 실제적 대상으로 삼음 또는 그 대상,N,,,,6차(2023-11),,,
무대,STG,Stage,"舞臺. 노래, 춤, 연극 따위를 하기 위하여 객석 정면에 만들어 놓은 단",N,,,,8차(2025-11),,,
무료,FREE,Free,無料. 요금이 없음,N,,,,7차(2024-11),,,
무상,FRCHG,Free Of Charge,無償. 어떤 행위에 대하여 아무런 대가나 보상이 없음,N,,,,8차(2025-11),,,
무선,WRLS,Wireless,無線. 통신이나 방송을 전선 없이 전파로 함 또는 그런 통신 방식,N,,,,8차(2025-11),,,
무선국,RDS,Radio Station,"無線局. 무선 전신, 무선 전화, 그 밖의 전파를 보내거나 받기 위한 전기적 설비와 그 설비의 조작을 하는 기구",N,,,,8차(2025-11),,,
무선국종,RDST,Radio Station Type,"無線局種. 무선 전신, 무선 전화, 그 밖의 전파를 보내거나 받기 위한 전기적 설비와 그 설비의 조작을 하는 기구의 종류",N,,,,8차(2025-11),,,
무이자,ZINT,Zero Interest,無利子. 이자가 붙지 않음,N,,,,6차(2023-11),,,
무주택,HMLS,Homeless,無住宅. 자기 소유의 주택이 없음,N,,,,7차(2024-11),,,
무형,ITN,Intangible,無形. 형상이나 형체가 없음,N,,,,6차(2023-11),,,
무효,INVLD,Invalidity,"無效. 보람이나 효과가 없거나, 어떤 원인 때문에 법률 행위의 내용에 따른 법률 효과가 당연히 생기지 않는 일",N,,,,7차(2024-11),,,
묶음,BNDL,Bundle,묶음. 한데 모아서 묶어 놓은 덩이,N,,,,6차(2023-11),,,
문구,PHRS,Phrase,文句. 글의 구절,N,,,,7차(2024-11),,,
문서,DOC,Document,文書. 글이나 기호 따위로 일정한 의사나 관념 또는 사상을 나타낸 것,N,,,,4차(2021-12),,,
문의,INQRY,Inquiry,問議. 물어서 의논함,N,,,,8차(2025-11),,,
문의자,INQR,Inquirer,問議者. 질문 또는 문의를 하는 사람,N,,,,8차(2025-11),,,
문의처,INQPL,Inquiring Place,問議處. 궁금한 점을 물어보는 통로나 장소,N,,,,7차(2024-11),,,
문자,LTR,Letter,文字. 인간의 언어를 적는 데 사용하는 시각적인 기호 체계,N,,,,6차(2023-11),,,
문장,SNTN,Sentence,文章. 생각이나 감정을 말과 글로 표현할 때 완결된 내용을 나타내는 최소의 단위,N,,,,8차(2025-11),,,
문제,PRBLM,Problem,"問題. 논쟁, 논의, 연구 따위의 대상이 되는 것",N,,,,5차(2022-07),,,
문제점,PBPT,Problem Point,問題點. 문제가 되는 점,N,,,,6차(2023-11),,,
문항,QITEM,Question Item,問項. 문제의 항목,N,,,,5차(2022-07),,,
문헌,LTRT,Literature,文獻. 옛날의 제도나 문물을 아는 데 증거가 되는 자료나 기록,N,,,,7차(2024-11),,,
문화재,CLTPTY,Cultural Property,文化財. 문화 활동에 의하여 창조된 가치가 뛰어난 사물,N,,,,4차(2021-12),,,
물가,PRICS,Prices,"物價. 물건의 값으로, 여러 가지 상품이나 서비스의 가치를 종합적이고 평균적으로 본 개념이다",N,,,,8차(2025-11),,,
물가연동,INFIN,Inflation Indexation,"物價連動. 물가 변동에 맞춰 지급액(채권 원금, 이자, 임금 등)이 자동으로 조정되는 제도 혹은 금융 상품",N,,,,8차(2025-11),,,
물가지수,PRIDX,Price Index,物價指數. 물가의 변동을 종합적으로 나타내는 지수. 일정한 장소나 일정한 시기의 일정한 상품의 가격을 100으로 잡고 다른 시기의 그 상품의 가격 변동 상태를 100에 대한 비례 수(比例數)로 나타낸다,Y,율,,,6차(2023-11),,,
물건,THING,Thing,物件. 일정한 형체를 갖춘 모든 물질적 대상,N,,,,5차(2022-07),,,
물건지,RELC,Real Estate Location,物件地. 물품 따위의 동산과 토지나 건물 따위의 부동산이 소재한 위치,N,,,,7차(2024-11),,,
물리,PHYS,Physics,物理. 물질의 물리적 성질과 그것이 나타내는 모든 현상,N,,,,5차(2022-07),,,
물이용부담금,WUCHG,Water Use Charge,"물利用負擔金. 상수원의 수질을 개선하고 상수원 지역에 거주하는 주민에 대한 지원 사업의 비용을 충당하기 위하여, 하류 지역의 상수원 이용자들에게 부과하는 금액",Y,금액,,,8차(2025-11),,,
물질,SBSTN,Substance,物質. 물체의 본바탕,N,,,,7차(2024-11),,,
물품,CMDTY,Commodity,物品. 일정하게 쓸 만한 값어치가 있는 물건,N,,,,5차(2022-07),,,
미결,PND,Pendency,未決. 아직 결정하거나 해결하지 아니함,N,,,,7차(2024-11),,,
미결제,UNSTL,Unsettled,未決濟. 아직 처결하여 끝내지 아니함,N,,,,8차(2025-11),,,
미납,UNPAID,Unpaid,未納. 내야 할 것을 아직 내지 않았거나 내지 못함,N,,,,6차(2023-11),,,
미리보기,PRVW,Preview,미리보기. 사용자가 편집하고 있는 텍스트와 도형 정보 등을 프린터에 인쇄하기 전에 화면을 통해서 인쇄될 모습을 미리 확인할 수 있도록 하는 기능,N,,,,6차(2023-11),,,
미배달,NDLV,Non-Delivery,未配達. 아직 물건이 배달되지 않음,N,,,,8차(2025-11),,,
미사용,UNSD,Unused,未使用. 아직 일정한 목적이나 기능에 맞게 쓰지 아니함,N,,,,8차(2025-11),,,
미상각,UAMTZ,Unamortized,未償却. 유형 자산의 취득 원가에서 감가상각이 된 부분을 제외한 부분을 말함,N,,,,7차(2024-11),,,
미상환,NRPY,Non Repayment,未償還. 아직 상환하지 않음,N,,,,6차(2023-11),,,
미선정,NSLCT,Non-Selection,未選定. 무언가를 선정해야 하는데 아직 선정하지 못한 상태를 뜻함,N,,,,6차(2023-11),,,
미성년,UNDG,Underage,未成年. 성년이 아닌 나이,N,,,,8차(2025-11),,,
미성년자,MINOR,Minor,未成年者. 성년이 아닌 사람,N,,,,8차(2025-11),,,
미세먼지,PM,Particulate Matter,"微細먼지. 지름 10마이크로미터(㎛) 이하의, 눈으로 분간하기 어려울 정도로 아주 작은 먼지",N,,,,7차(2024-11),,,
미수,UCLT,Uncollected,未收. 돈이나 물건 따위를 아직 다 거두어들이지 못함,N,,,,6차(2023-11),,,
미수금,ACNRCV,Accounts Receivable,未收金. 아직 거두어들이지 못한 돈,Y,금액,,,7차(2024-11),,,
미수납,NRCP,Non-Receipt,未收納. 돈이나 물품 따위를 받아 거두어들이지 못함,N,,,,6차(2023-11),,,
미승인,UNAPRV,Unapproved,未承認. 아직 어떤 사실을 마땅하다고 받아들이지 아니함,N,,,,6차(2023-11),,,
미완료,INCPL,Incomplete,未完了. 아직 끝나지 않음,N,,,,6차(2023-11),,,
미지급,OTSPY,Outstanding Payment,未支給. 이미 주도록 되어 있는 돈이나 물건 따위를 아직 내어 주지 아니함,N,,,,6차(2023-11),,,
미집행,UNEX,Unexecuted,未執行. 아직 실제로 시행하지 않음,N,,,,7차(2024-11),,,
미처리,UNPRCS,Unprocessed,未處理. 아직 처리하지 아니함,N,,,,6차(2023-11),,,
미청구,UCLM,Unclaimed,未請求. 아직 상대편에 대하여 일정한 행위나 급부를 요구하지 않음,N,,,,8차(2025-11),,,
미필,INCMP,Incompletion,未畢. 아직 끝내지 못함,N,,,,7차(2024-11),,,
미화,USD,US Dollar,美貨. 미국의 화폐,N,,,,8차(2025-11),,,
미환급,UNRFND,Unrefunded,未還給. 아직 도로 돌려주지 않음,N,,,,7차(2024-11),,,
미흡,INSF,Insufficiency,未洽. 아직 흡족하지 못하거나 만족스럽지 않음,N,,,,8차(2025-11),,,
민간,PRIVT,Private,民間. 관청이나 정부 기관에 속하지 않음,N,,,,8차(2025-11),,,
민원,CVLCPT,Civil Complaint,民願. 주민이 행정 기관에 대하여 원하는 바를 요구하는 일,N,,,,1차(2020-08),,,
민원인,CVLPR,Civil Petitioner ,民願人. 행정 기관에 민원의 처리를 요구하는 자연인 또는 단체,N,,,,3차(2021-10),,,
밀도,DNSTY,Density,密度. 빽빽이 들어선 정도 또는 어떤 물질의 단위 부피만큼의 질량,Y,수,,,8차(2025-11),,,
바닥,FLOOR,Floor,바닥. 평평하게 넓이를 이룬 부분 또는 물체의 밑부분,N,,,,8차(2025-11),,,
바이러스,VRS,Virus,Virus. 컴퓨터의 정상적인 동작에 나쁜 영향을 미치거나 저장된 데이터나 프로그램을 파괴하는 프로그램,N,,,,7차(2024-11),,,
바코드,BRCD,Barcode,Bar code. 상품의 포장이나 꼬리표에 표시된 검고 흰 줄무늬,N,,,,8차(2025-11),,,
박물관,MSM,Museum,"博物館. 고고학적 자료, 역사적 유물, 예술품, 그 밖의 학술 자료를 수집・보존・진열하고 일반에게 전시하여 학술 연구와 사회 교육에 기여할 목적으로 만든 시설",N,,,,7차(2024-11),,,
박사,DCTR,Doctor,博士. 대학원의 박사 과정을 마치고 규정된 절차를 밟은 사람에게 수여하는 학위 또는 그 학위를 딴 사람,N,,,,8차(2025-11),,,
반경,RADS,Radius,半徑. 반지름의 전 용어로 원이나 구의 중심에서 그 원둘레 또는 구면상의 한 점에 이르는 선분 또는 그 선분의 길이,Y,수,,,8차(2025-11),,,
반납,RTN,Return,返納. 도로 바침. 또는 도로 돌려줌,N,,,,1차(2020-08),,,
반납자,RTNR,Returner,返納者. 도로 바치거나 도로 돌려주는 사람,N,,,,8차(2025-11),,,
반대,OPST,Opposition,"反對. 두 사물이 모양, 위치, 방향, 순서 따위에서 등지거나 서로 맞섬. 또는 그런 상태",N,,,,7차(2024-11),,,
반려,RJCT,Reject,返戾. 주로 윗사람이나 상급 기관에 제출한 문서를 처리하지 않고 되돌려줌,N,,,,1차(2020-08),,,
반복,REPT,Repetition,反復. 같은 일을 되풀이함,N,,,,6차(2023-11),,,
반송,SNDBK,Send Back,返送. 도로 돌려보냄,N,,,,1차(2020-08),,,
반송자,RTRNR,Returner,返送者. 도로 돌려보낸 사람,N,,,,7차(2024-11),,,
반영,RFLT,Reflection,反映. 다른 것에 영향을 받아 어떤 현상이 나타남. 또는 어떤 현상을 나타냄,N,,,,1차(2020-08),,,
반입,CRYN,Carry In,搬入. 운반하여 들여옴,N,,,,3차(2021-10),,,
반입량,CIVLM,Carry-In Volume,搬入量. 운반하여 들이는 물건의 양,Y,수,,,7차(2024-11),,,
반입자,PRBR,Person Bringing In,搬入者. 물건 등을 안으로 들여온 사람,N,,,,8차(2025-11),,,
반제,CLRG,Clearing,返濟. 빌렸던 돈을 모두 다 갚음,N,,,,8차(2025-11),,,
반출,SHPGOT,Shipping Out,搬出. 운반하여 냄,N,,,,4차(2021-12),,,
반출량,COVLM,Carry-Out Volume,搬出量. 운반하여 내는 물건의 양,Y,수,,,7차(2024-11),,,
반출자,PRTO,Person Taking Out,搬出者. 어떤 곳에서 물건을 가져 나가려는 사람이나 조직,N,,,,8차(2025-11),,,
반품,RTGD,Returned Goods,返品. 일단 사들인 물품을 되돌려보냄. 또는 그 물품,N,,,,7차(2024-11),,,
반환,GVBK,Giving back,返還. 빌리거나 차지했던 것을 되돌려줌,N,,,,2차(2020-12),,,
발간,PBLS,Publish,"發刊. 책, 신문, 잡지 따위를 만들어 냄",N,,,,6차(2023-11),,,
